,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
235,2020-03-20,20,3,2020,11,0,Albania,AL,ALB,2866376.0,Europe
236,2020-03-19,19,3,2020,4,1,Albania,AL,ALB,2866376.0,Europe
237,2020-03-18,18,3,2020,4,0,Albania,AL,ALB,2866376.0,Europe
238,2020-03-17,17,3,2020,9,0,Albania,AL,ALB,2866376.0,Europe
239,2020-03-16,16,3,2020,4,0,Albania,AL,ALB,2866376.0,Europe
240,2020-03-15,15,3,2020,5,0,Albania,AL,ALB,2866376.0,Europe
241,2020-03-14,14,3,2020,10,0,Albania,AL,ALB,2866376.0,Europe
242,2020-03-13,13,3,2020,12,0,Albania,AL,ALB,2866376.0,Europe
243,2020-03-12,12,3,2020,1,1,Albania,AL,ALB,2866376.0,Europe
244,2020-03-11,11,3,2020,4,0,Albania,AL,ALB,2866376.0,Europe
245,2020-03-10,10,3,2020,4,0,Albania,AL,ALB,2866376.0,Europe
246,2020-03-09,9,3,2020,2,0,Albania,AL,ALB,2866376.0,Europe
247,2020-06-10,10,6,2020,117,9,Algeria,DZ,DZA,42228429.0,Africa
248,2020-06-09,9,6,2020,111,8,Algeria,DZ,DZA,42228429.0,Africa
249,2020-06-08,8,6,2020,104,9,Algeria,DZ,DZA,42228429.0,Africa
250,2020-06-07,7,6,2020,115,8,Algeria,DZ,DZA,42228429.0,Africa
251,2020-06-06,6,6,2020,104,9,Algeria,DZ,DZA,42228429.0,Africa
252,2020-06-05,5,6,2020,205,14,Algeria,DZ,DZA,42228429.0,Africa
253,2020-06-04,4,6,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
254,2020-06-03,3,6,2020,113,6,Algeria,DZ,DZA,42228429.0,Africa
255,2020-06-02,2,6,2020,119,8,Algeria,DZ,DZA,42228429.0,Africa
256,2020-06-01,1,6,2020,127,7,Algeria,DZ,DZA,42228429.0,Africa
257,2020-05-31,31,5,2020,133,8,Algeria,DZ,DZA,42228429.0,Africa
258,2020-05-30,30,5,2020,137,8,Algeria,DZ,DZA,42228429.0,Africa
259,2020-05-29,29,5,2020,140,7,Algeria,DZ,DZA,42228429.0,Africa
260,2020-05-28,28,5,2020,160,6,Algeria,DZ,DZA,42228429.0,Africa
261,2020-05-27,27,5,2020,194,8,Algeria,DZ,DZA,42228429.0,Africa
262,2020-05-26,26,5,2020,197,9,Algeria,DZ,DZA,42228429.0,Africa
263,2020-05-25,25,5,2020,193,8,Algeria,DZ,DZA,42228429.0,Africa
264,2020-05-24,24,5,2020,195,10,Algeria,DZ,DZA,42228429.0,Africa
265,2020-05-23,23,5,2020,190,7,Algeria,DZ,DZA,42228429.0,Africa
266,2020-05-22,22,5,2020,186,7,Algeria,DZ,DZA,42228429.0,Africa
267,2020-05-21,21,5,2020,165,7,Algeria,DZ,DZA,42228429.0,Africa
268,2020-05-20,20,5,2020,176,6,Algeria,DZ,DZA,42228429.0,Africa
269,2020-05-19,19,5,2020,182,7,Algeria,DZ,DZA,42228429.0,Africa
270,2020-05-18,18,5,2020,198,6,Algeria,DZ,DZA,42228429.0,Africa
271,2020-05-17,17,5,2020,192,6,Algeria,DZ,DZA,42228429.0,Africa
272,2020-05-16,16,5,2020,187,7,Algeria,DZ,DZA,42228429.0,Africa
273,2020-05-15,15,5,2020,189,7,Algeria,DZ,DZA,42228429.0,Africa
274,2020-05-14,14,5,2020,186,7,Algeria,DZ,DZA,42228429.0,Africa
275,2020-05-13,13,5,2020,176,8,Algeria,DZ,DZA,42228429.0,Africa
276,2020-05-12,12,5,2020,168,5,Algeria,DZ,DZA,42228429.0,Africa
277,2020-05-11,11,5,2020,165,8,Algeria,DZ,DZA,42228429.0,Africa
278,2020-05-10,10,5,2020,189,6,Algeria,DZ,DZA,42228429.0,Africa
279,2020-05-09,9,5,2020,187,5,Algeria,DZ,DZA,42228429.0,Africa
280,2020-05-08,8,5,2020,185,7,Algeria,DZ,DZA,42228429.0,Africa
281,2020-05-07,7,5,2020,159,6,Algeria,DZ,DZA,42228429.0,Africa
282,2020-05-06,6,5,2020,190,5,Algeria,DZ,DZA,42228429.0,Africa
283,2020-05-05,5,5,2020,174,2,Algeria,DZ,DZA,42228429.0,Africa
284,2020-05-04,4,5,2020,179,4,Algeria,DZ,DZA,42228429.0,Africa
285,2020-05-03,3,5,2020,141,6,Algeria,DZ,DZA,42228429.0,Africa
286,2020-05-02,2,5,2020,148,3,Algeria,DZ,DZA,42228429.0,Africa
287,2020-05-01,1,5,2020,158,6,Algeria,DZ,DZA,42228429.0,Africa
288,2020-04-30,30,4,2020,199,7,Algeria,DZ,DZA,42228429.0,Africa
289,2020-04-29,29,4,2020,132,5,Algeria,DZ,DZA,42228429.0,Africa
290,2020-04-28,28,4,2020,135,7,Algeria,DZ,DZA,42228429.0,Africa
291,2020-04-27,27,4,2020,126,6,Algeria,DZ,DZA,42228429.0,Africa
292,2020-04-26,26,4,2020,129,4,Algeria,DZ,DZA,42228429.0,Africa
293,2020-04-25,25,4,2020,120,8,Algeria,DZ,DZA,42228429.0,Africa
294,2020-04-24,24,4,2020,97,5,Algeria,DZ,DZA,42228429.0,Africa
295,2020-04-23,23,4,2020,99,10,Algeria,DZ,DZA,42228429.0,Africa
296,2020-04-22,22,4,2020,93,8,Algeria,DZ,DZA,42228429.0,Africa
297,2020-04-21,21,4,2020,89,9,Algeria,DZ,DZA,42228429.0,Africa
298,2020-04-20,20,4,2020,94,8,Algeria,DZ,DZA,42228429.0,Africa
299,2020-04-19,19,4,2020,117,3,Algeria,DZ,DZA,42228429.0,Africa
300,2020-04-18,18,4,2020,150,16,Algeria,DZ,DZA,42228429.0,Africa
301,2020-04-17,17,4,2020,108,12,Algeria,DZ,DZA,42228429.0,Africa
302,2020-04-16,16,4,2020,90,11,Algeria,DZ,DZA,42228429.0,Africa
303,2020-04-15,15,4,2020,87,12,Algeria,DZ,DZA,42228429.0,Africa
304,2020-04-14,14,4,2020,69,20,Algeria,DZ,DZA,42228429.0,Africa
305,2020-04-13,13,4,2020,89,18,Algeria,DZ,DZA,42228429.0,Africa
306,2020-04-12,12,4,2020,64,19,Algeria,DZ,DZA,42228429.0,Africa
307,2020-04-11,11,4,2020,95,21,Algeria,DZ,DZA,42228429.0,Africa
